Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite4,Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:23:20,5m - 25.452s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:18:20,24.817s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:18:20,24.517s,PASSED
,,,,,,
Test Cases/case 4 - home,Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:23,3.346s,PASSED
"verifyElementVisible(findTestObject(""Page_Home - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:20,0.089s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:23,3.023s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:18:23,2019-01-01 01:18:24,0.899s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:18:23,2019-01-01 01:18:24,0.770s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:18:24,2019-01-01 01:18:40,16.277s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:18:24,2019-01-01 01:18:40,16.263s,PASSED
,,,,,,
Test Cases/case 4 - about us,Chrome 71.0.3578.98,,2019-01-01 01:18:40,2019-01-01 01:19:14,33.889s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_About Us""))",Chrome 71.0.3578.98,,2019-01-01 01:18:40,2019-01-01 01:19:11,30.691s,PASSED
"verifyElementVisible(findTestObject(""Page_About Us - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:19:11,2019-01-01 01:19:11,0.047s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:19:11,2019-01-01 01:19:14,3.003s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:19:14,2019-01-01 01:19:15,0.742s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:19:14,2019-01-01 01:19:15,0.729s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:19:15,2019-01-01 01:19:30,15.044s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:19:15,2019-01-01 01:19:30,15.036s,PASSED
,,,,,,
Test Cases/case 4 - products (solutions),Chrome 71.0.3578.98,,2019-01-01 01:19:30,2019-01-01 01:19:40,10.451s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Solutions""))",Chrome 71.0.3578.98,,2019-01-01 01:19:30,2019-01-01 01:19:37,7.211s,PASSED
"verifyElementVisible(findTestObject(""Page_Solution - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:19:37,2019-01-01 01:19:37,0.054s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:19:37,2019-01-01 01:19:40,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:19:40,2019-01-01 01:19:41,0.718s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:19:40,2019-01-01 01:19:41,0.712s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:19:41,2019-01-01 01:19:58,17.325s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:19:41,2019-01-01 01:19:58,17.319s,PASSED
,,,,,,
Test Cases/case 4 - were hiring (career),Chrome 71.0.3578.98,,2019-01-01 01:19:58,2019-01-01 01:20:57,58.683s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Career""))",Chrome 71.0.3578.98,,2019-01-01 01:19:58,2019-01-01 01:20:54,55.459s,PASSED
"verifyElementVisible(findTestObject(""Page_Career - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:20:54,2019-01-01 01:20:54,0.073s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:20:54,2019-01-01 01:20:57,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:20:57,2019-01-01 01:20:58,0.793s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:20:57,2019-01-01 01:20:58,0.783s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:20:58,2019-01-01 01:21:18,19.766s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:20:58,2019-01-01 01:21:18,19.763s,PASSED
,,,,,,
Test Cases/case 4 - contact,Chrome 71.0.3578.98,,2019-01-01 01:21:18,2019-01-01 01:21:35,17.202s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Contact""))",Chrome 71.0.3578.98,,2019-01-01 01:21:18,2019-01-01 01:21:32,13.865s,PASSED
"verifyElementVisible(findTestObject(""Page_Contact - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:21:32,2019-01-01 01:21:32,0.084s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:21:32,2019-01-01 01:21:35,3.000s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:21:35,2019-01-01 01:21:36,0.780s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:21:35,2019-01-01 01:21:36,0.769s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:21:36,2019-01-01 01:21:54,18.796s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:21:36,2019-01-01 01:21:54,18.789s,PASSED
,,,,,,
Test Cases/case 4 - privacy policy,Chrome 71.0.3578.98,,2019-01-01 01:21:54,2019-01-01 01:22:07,12.819s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Privacy Policy""))",Chrome 71.0.3578.98,,2019-01-01 01:21:55,2019-01-01 01:22:04,9.555s,PASSED
"verifyElementVisible(findTestObject(""Page_Privacy-policy - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:22:04,2019-01-01 01:22:04,0.079s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:22:04,2019-01-01 01:22:07,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:22:07,2019-01-01 01:22:08,0.718s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:22:07,2019-01-01 01:22:08,0.706s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:22:08,2019-01-01 01:22:24,16.066s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:22:08,2019-01-01 01:22:24,16.055s,PASSED
,,,,,,
Test Cases/case 4 - projects (blog),Chrome 71.0.3578.98,,2019-01-01 01:22:24,2019-01-01 01:22:37,12.950s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Blog""))",Chrome 71.0.3578.98,,2019-01-01 01:22:24,2019-01-01 01:22:34,9.744s,PASSED
"verifyElementVisible(findTestObject(""Page_Blog - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:22:34,2019-01-01 01:22:34,0.052s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:22:34,2019-01-01 01:22:37,3.000s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:22:37,2019-01-01 01:22:38,0.840s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:22:37,2019-01-01 01:22:38,0.834s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:22:38,2019-01-01 01:22:55,17.455s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:22:38,2019-01-01 01:22:55,17.452s,PASSED
,,,,,,
Test Cases/case 4 - partner (alliances),Chrome 71.0.3578.98,,2019-01-01 01:22:55,2019-01-01 01:23:19,23.979s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Partner""))",Chrome 71.0.3578.98,,2019-01-01 01:22:55,2019-01-01 01:23:16,20.703s,PASSED
"verifyElementVisible(findTestObject(""Page_Partner - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:23:16,2019-01-01 01:23:16,0.085s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:23:16,2019-01-01 01:23:19,3.000s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:23:19,2019-01-01 01:23:20,0.729s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:23:19,2019-01-01 01:23:20,0.720s,PASSED
